date,SP500,VIX,TNX,SP500_return,VIX_return,TNX_return,sentiment_mean,sentiment_std,headline_count,pos_prob_mean,neg_prob_mean,neu_prob_mean,pct_positive,pct_negative
2017-12-07,2636.97998046875,2.375999927520752,10.15999984741211,0.29323579853828274,1.974249155404717,-7.803997954879261,0.25,0.5,4.0,0.35449797,0.023576833,0.62192523,25.0,0.0
2017-12-08,2651.5,2.382999897003174,9.579999923706055,0.5506306319651655,0.2946115191899912,-5.708660752133654,0.0,0.0,3.0,0.04211487,0.074235454,0.88364965,0.0,0.0
2017-12-11,2659.989990234375,2.384999990463257,9.34000015258789,0.3201957471006933,0.08393174765128908,-2.5052168374686046,0.0,0.0,4.0,0.078958325,0.1529963,0.76804537,0.0,0.0
2017-12-12,2664.110107421875,2.4030001163482666,9.920000076293945,0.1548922064604108,0.754722262347407,6.209849188764216,0.0,0.0,0.0,0.078958325,0.1529963,0.76804537,0.0,0.0
2017-12-13,2662.85009765625,2.3489999771118164,10.180000305175781,-0.04729570906678582,-2.2471966967072765,2.6209700290543703,0.0,0.0,0.0,0.078958325,0.1529963,0.76804537,0.0,0.0
2017-12-14,2652.010009765625,2.3459999561309814,10.489999771118164,-0.4070859227173984,-0.1277148152433627,3.045181303037592,0.0,0.0,0.0,0.078958325,0.1529963,0.76804537,0.0,0.0
2017-12-15,2675.81005859375,2.3550000190734863,9.420000076293945,0.8974343513216354,0.3836344036999728,-10.200187971121032,0.0,0.0,0.0,0.078958325,0.1529963,0.76804537,0.0,0.0
2017-12-18,2690.159912109375,2.3919999599456787,9.529999732971191,0.5362807225250732,1.5711227419330953,1.167724583719143,0.0,0.0,2.0,0.09871517,0.037778094,0.86350673,0.0,0.0
2017-12-19,2681.469970703125,2.4630000591278076,10.029999732971191,-0.32302694598687065,2.968231620862616,5.246589863692619,0.0,0.816496580927726,4.0,0.2555888,0.2599509,0.4844603,25.0,25.0
2017-12-20,2679.25,2.496999979019165,9.720000267028809,-0.08278931807477186,1.3804270838465804,-3.0907225742323297,0.0,0.0,4.0,0.04349196,0.07549073,0.88101727,0.0,0.0
